State,year,Categorie,returns,Taxcategory,taxreturns,ReturnsCategory,overallreturns,AmountCategory,Amount
AK,2010,Energy,27342,Direct tax,67771,Total Returns filed,165295,Total Dollar Amount,8636234.48
AK,2010,Financials,4230,Indirect tax,97524,Filed by WK Product,64466,Dollar Amount by product ,1440252.24
AK,2010,Health Care,5266,,,,,,
AK,2010,Industrials,46240,,,,,,
AK,2010,Information Technology,45503,,,,,,
AK,2010,Real Estate,6644,,,,,,
AK,2010,Others,30070,,,,,,
AK,2011,Energy,22462,Direct tax,92621,Total Returns filed,201350,Total Dollar Amount,8636234.48
AK,2011,Financials,23305,Indirect tax,108729,Filed by WK Product,84567,Dollar Amount by product ,1440252.24
AK,2011,Health Care,15499,,,,,,
AK,2011,Industrials,28349,,,,,,
AK,2011,Information Technology,30430,,,,,,
AK,2011,Real Estate,37975,,,,,,
AK,2011,Others,43330,,,,,,
AK,2012,Energy,41077,Direct tax,125404,Total Returns filed,232228,Total Dollar Amount,8636234.48
AK,2012,Financials,31897,Indirect tax,106824,Filed by WK Product,102181,Dollar Amount by product ,1440252.24
AK,2012,Health Care,34165,,,,,,
AK,2012,Industrials,34154,,,,,,
AK,2012,Information Technology,46014,,,,,,
AK,2012,Real Estate,9348,,,,,,
AK,2012,Others,35573,,,,,,
AK,2013,Energy,3801,Direct tax,63483,Total Returns filed,122081,Total Dollar Amount,8636234.48
AK,2013,Financials,8120,Indirect tax,58598,Filed by WK Product,19533,Dollar Amount by product ,1440252.24
AK,2013,Health Care,30741,,,,,,
AK,2013,Industrials,18385,,,,,,
AK,2013,Information Technology,10326,,,,,,
AK,2013,Real Estate,33145,,,,,,
AK,2013,Others,17563,,,,,,
AK,2014,Energy,41546,Direct tax,107001,Total Returns filed,184483,Total Dollar Amount,8636234.48
AK,2014,Financials,26801,Indirect tax,77482,Filed by WK Product,81173,Dollar Amount by product ,1440252.24
AK,2014,Health Care,7426,,,,,,
AK,2014,Industrials,7776,,,,,,
AK,2014,Information Technology,45061,,,,,,
AK,2014,Real Estate,26848,,,,,,
AK,2014,Others,29025,,,,,,
AK,2015,Energy,38999,Direct tax,84981,Total Returns filed,180810,Total Dollar Amount,8636234.48
AK,2015,Financials,19074,Indirect tax,95829,Filed by WK Product,88597,Dollar Amount by product ,1440252.24
AK,2015,Health Care,20500,,,,,,
AK,2015,Industrials,40600,,,,,,
AK,2015,Information Technology,31801,,,,,,
AK,2015,Real Estate,10813,,,,,,
AK,2015,Others,19023,,,,,,
AK,2016,Energy,49303,Direct tax,102470,Total Returns filed,197056,Total Dollar Amount,8636234.48
AK,2016,Financials,6996,Indirect tax,94586,Filed by WK Product,45323,Dollar Amount by product ,1440252.24
AK,2016,Health Care,24555,,,,,,
AK,2016,Industrials,14876,,,,,,
AK,2016,Information Technology,43005,,,,,,
AK,2016,Real Estate,17140,,,,,,
AK,2016,Others,41181,,,,,,
AZ,2010,Energy,25953,Direct tax,63007,Total Returns filed,116678,Total Dollar Amount,8636234.48
AZ,2010,Financials,17942,Indirect tax,53671,Filed by WK Product,23336,Dollar Amount by product ,1440252.24
AZ,2010,Health Care,28705,,,,,,
AZ,2010,Industrials,8558,,,,,,
AZ,2010,Information Technology,13856,,,,,,
AZ,2010,Real Estate,14258,,,,,,
AZ,2010,Others,7406,,,,,,
AZ,2011,Energy,1413,Direct tax,79001,Total Returns filed,188096,Total Dollar Amount,8636234.48
AZ,2011,Financials,47416,Indirect tax,109095,Filed by WK Product,86525,Dollar Amount by product ,1440252.24
AZ,2011,Health Care,2278,,,,,,
AZ,2011,Industrials,33371,,,,,,
AZ,2011,Information Technology,25326,,,,,,
AZ,2011,Real Estate,40486,,,,,,
AZ,2011,Others,37806,,,,,,
AZ,2012,Energy,37848,Direct tax,76225,Total Returns filed,149460,Total Dollar Amount,8636234.48
AZ,2012,Financials,17146,Indirect tax,73235,Filed by WK Product,22419,Dollar Amount by product ,1440252.24
AZ,2012,Health Care,15642,,,,,,
AZ,2012,Industrials,25860,,,,,,
AZ,2012,Information Technology,26238,,,,,,
AZ,2012,Real Estate,25691,,,,,,
AZ,2012,Others,1035,,,,,,
AZ,2013,Energy,23068,Direct tax,75254,Total Returns filed,150508,Total Dollar Amount,8636234.48
AZ,2013,Financials,21346,Indirect tax,75254,Filed by WK Product,48163,Dollar Amount by product ,1440252.24
AZ,2013,Health Care,31733,,,,,,
AZ,2013,Industrials,34005,,,,,,
AZ,2013,Information Technology,12752,,,,,,
AZ,2013,Real Estate,24807,,,,,,
AZ,2013,Others,2797,,,,,,
AZ,2014,Energy,2452,Direct tax,72207,Total Returns filed,167921,Total Dollar Amount,8636234.48
AZ,2014,Financials,14470,Indirect tax,95714,Filed by WK Product,68848,Dollar Amount by product ,1440252.24
AZ,2014,Health Care,36725,,,,,,
AZ,2014,Industrials,49466,,,,,,
AZ,2014,Information Technology,35005,,,,,,
AZ,2014,Real Estate,10691,,,,,,
AZ,2014,Others,19112,,,,,,
AZ,2015,Energy,18731,Direct tax,94695,Total Returns filed,175360,Total Dollar Amount,8636234.48
AZ,2015,Financials,24150,Indirect tax,80665,Filed by WK Product,31565,Dollar Amount by product ,1440252.24
AZ,2015,Health Care,12906,,,,,,
AZ,2015,Industrials,36825,,,,,,
AZ,2015,Information Technology,9440,,,,,,
AZ,2015,Real Estate,37328,,,,,,
AZ,2015,Others,35980,,,,,,
AZ,2016,Energy,26782,Direct tax,82140,Total Returns filed,191022,Total Dollar Amount,8636234.48
AZ,2016,Financials,30679,Indirect tax,108882,Filed by WK Product,45846,Dollar Amount by product ,1440252.24
AZ,2016,Health Care,18288,,,,,,
AZ,2016,Industrials,20189,,,,,,
AZ,2016,Information Technology,33102,,,,,,
AZ,2016,Real Estate,15123,,,,,,
AZ,2016,Others,46859,,,,,,
AR,2010,Energy,33979,Direct tax,108828,Total Returns filed,184454,Total Dollar Amount,8636234.48
AR,2010,Financials,21831,Indirect tax,75626,Filed by WK Product,40580,Dollar Amount by product ,1440252.24
AR,2010,Health Care,24205,,,,,,
AR,2010,Industrials,20255,,,,,,
AR,2010,Information Technology,40691,,,,,,
AR,2010,Real Estate,27027,,,,,,
AR,2010,Others,16466,,,,,,
AR,2011,Energy,27658,Direct tax,127366,Total Returns filed,249736,Total Dollar Amount,8636234.48
AR,2011,Financials,28622,Indirect tax,122370,Filed by WK Product,82413,Dollar Amount by product ,1440252.24
AR,2011,Health Care,38607,,,,,,
AR,2011,Industrials,41034,,,,,,
AR,2011,Information Technology,36867,,,,,,
AR,2011,Real Estate,47536,,,,,,
AR,2011,Others,29412,,,,,,
AR,2012,Energy,49577,Direct tax,102772,Total Returns filed,228381,Total Dollar Amount,8636234.48
AR,2012,Financials,45566,Indirect tax,125609,Filed by WK Product,47961,Dollar Amount by product ,1440252.24
AR,2012,Health Care,13101,,,,,,
AR,2012,Industrials,24923,,,,,,
AR,2012,Information Technology,35532,,,,,,
AR,2012,Real Estate,23930,,,,,,
AR,2012,Others,35752,,,,,,
AR,2013,Energy,35344,Direct tax,71914,Total Returns filed,167241,Total Dollar Amount,8636234.48
AR,2013,Financials,4138,Indirect tax,95327,Filed by WK Product,41811,Dollar Amount by product ,1440252.24
AR,2013,Health Care,22704,,,,,,
AR,2013,Industrials,24591,,,,,,
AR,2013,Information Technology,30969,,,,,,
AR,2013,Real Estate,7352,,,,,,
AR,2013,Others,42143,,,,,,
AR,2014,Energy,26240,Direct tax,81757,Total Returns filed,166851,Total Dollar Amount,8636234.48
AR,2014,Financials,41845,Indirect tax,85094,Filed by WK Product,66741,Dollar Amount by product ,1440252.24
AR,2014,Health Care,47084,,,,,,
AR,2014,Industrials,28350,,,,,,
AR,2014,Information Technology,16040,,,,,,
AR,2014,Real Estate,6060,,,,,,
AR,2014,Others,1232,,,,,,
AR,2015,Energy,33488,Direct tax,71004,Total Returns filed,136546,Total Dollar Amount,8636234.48
AR,2015,Financials,6137,Indirect tax,65542,Filed by WK Product,53253,Dollar Amount by product ,1440252.24
AR,2015,Health Care,3129,,,,,,
AR,2015,Industrials,36337,,,,,,
AR,2015,Information Technology,6567,,,,,,
AR,2015,Real Estate,42157,,,,,,
AR,2015,Others,8731,,,,,,
AR,2016,Energy,6561,Direct tax,62304,Total Returns filed,107420,Total Dollar Amount,8636234.48
AR,2016,Financials,3442,Indirect tax,45116,Filed by WK Product,24707,Dollar Amount by product ,1440252.24
AR,2016,Health Care,6032,,,,,,
AR,2016,Industrials,38633,,,,,,
AR,2016,Information Technology,20140,,,,,,
AR,2016,Real Estate,17688,,,,,,
AR,2016,Others,14924,,,,,,
CA,2010,Energy,6231,Direct tax,53193,Total Returns filed,96714,Total Dollar Amount,8636234.48
CA,2010,Financials,8387,Indirect tax,43521,Filed by WK Product,15475,Dollar Amount by product ,1440252.24
CA,2010,Health Care,15043,,,,,,
CA,2010,Industrials,18077,,,,,,
CA,2010,Information Technology,16036,,,,,,
CA,2010,Real Estate,23668,,,,,,
CA,2010,Others,9272,,,,,,
CA,2011,Energy,18087,Direct tax,67928,Total Returns filed,165677,Total Dollar Amount,8636234.48
CA,2011,Financials,26506,Indirect tax,97749,Filed by WK Product,67928,Dollar Amount by product ,1440252.24
CA,2011,Health Care,15233,,,,,,
CA,2011,Industrials,17742,,,,,,
CA,2011,Information Technology,26444,,,,,,
CA,2011,Real Estate,23043,,,,,,
CA,2011,Others,38622,,,,,,
CA,2012,Energy,17487,Direct tax,71558,Total Returns filed,143116,Total Dollar Amount,8636234.48
CA,2012,Financials,11223,Indirect tax,71558,Filed by WK Product,41504,Dollar Amount by product ,1440252.24
CA,2012,Health Care,39897,,,,,,
CA,2012,Industrials,3675,,,,,,
CA,2012,Information Technology,20999,,,,,,
CA,2012,Real Estate,35317,,,,,,
CA,2012,Others,14518,,,,,,
CA,2013,Energy,45559,Direct tax,79524,Total Returns filed,134785,Total Dollar Amount,8636234.48
CA,2013,Financials,13844,Indirect tax,55261,Filed by WK Product,45827,Dollar Amount by product ,1440252.24
CA,2013,Health Care,10242,,,,,,
CA,2013,Industrials,47163,,,,,,
CA,2013,Information Technology,5618,,,,,,
CA,2013,Real Estate,4844,,,,,,
CA,2013,Others,7515,,,,,,
CA,2014,Energy,21930,Direct tax,92939,Total Returns filed,206531,Total Dollar Amount,8636234.48
CA,2014,Financials,39434,Indirect tax,113592,Filed by WK Product,51633,Dollar Amount by product ,1440252.24
CA,2014,Health Care,17736,,,,,,
CA,2014,Industrials,30884,,,,,,
CA,2014,Information Technology,44651,,,,,,
CA,2014,Real Estate,47531,,,,,,
CA,2014,Others,4365,,,,,,
CA,2015,Energy,33519,Direct tax,81019,Total Returns filed,168789,Total Dollar Amount,8636234.48
CA,2015,Financials,5972,Indirect tax,87770,Filed by WK Product,50637,Dollar Amount by product ,1440252.24
CA,2015,Health Care,6325,,,,,,
CA,2015,Industrials,45299,,,,,,
CA,2015,Information Technology,28229,,,,,,
CA,2015,Real Estate,46206,,,,,,
CA,2015,Others,3239,,,,,,
CA,2016,Energy,22537,Direct tax,102082,Total Returns filed,176002,Total Dollar Amount,8636234.48
CA,2016,Financials,34677,Indirect tax,73920,Filed by WK Product,49281,Dollar Amount by product ,1440252.24
CA,2016,Health Care,15115,,,,,,
CA,2016,Industrials,14053,,,,,,
CA,2016,Information Technology,37011,,,,,,
CA,2016,Real Estate,3722,,,,,,
CA,2016,Others,48887,,,,,,
CO,2010,Energy,40639,Direct tax,120886,Total Returns filed,257203,Total Dollar Amount,8636234.48
CO,2010,Financials,23867,Indirect tax,136317,Filed by WK Product,123458,Dollar Amount by product ,1440252.24
CO,2010,Health Care,49622,,,,,,
CO,2010,Industrials,48716,,,,,,
CO,2010,Information Technology,46110,,,,,,
CO,2010,Real Estate,31614,,,,,,
CO,2010,Others,16635,,,,,,
CO,2011,Energy,38299,Direct tax,114062,Total Returns filed,211225,Total Dollar Amount,8636234.48
CO,2011,Financials,33144,Indirect tax,97163,Filed by WK Product,103501,Dollar Amount by product ,1440252.24
CO,2011,Health Care,21348,,,,,,
CO,2011,Industrials,6443,,,,,,
CO,2011,Information Technology,33214,,,,,,
CO,2011,Real Estate,32062,,,,,,
CO,2011,Others,46715,,,,,,
CO,2012,Energy,43259,Direct tax,102553,Total Returns filed,218196,Total Dollar Amount,8636234.48
CO,2012,Financials,29747,Indirect tax,115643,Filed by WK Product,85097,Dollar Amount by product ,1440252.24
CO,2012,Health Care,6273,,,,,,
CO,2012,Industrials,40291,,,,,,
CO,2012,Information Technology,41143,,,,,,
CO,2012,Real Estate,29517,,,,,,
CO,2012,Others,27966,,,,,,
CO,2013,Energy,16574,Direct tax,51098,Total Returns filed,106453,Total Dollar Amount,8636234.48
CO,2013,Financials,5017,Indirect tax,55355,Filed by WK Product,50033,Dollar Amount by product ,1440252.24
CO,2013,Health Care,6519,,,,,,
CO,2013,Industrials,33954,,,,,,
CO,2013,Information Technology,22686,,,,,,
CO,2013,Real Estate,12474,,,,,,
CO,2013,Others,9229,,,,,,
CO,2014,Energy,47004,Direct tax,92609,Total Returns filed,181585,Total Dollar Amount,8636234.48
CO,2014,Financials,17305,Indirect tax,88976,Filed by WK Product,65371,Dollar Amount by product ,1440252.24
CO,2014,Health Care,37958,,,,,,
CO,2014,Industrials,30165,,,,,,
CO,2014,Information Technology,7152,,,,,,
CO,2014,Real Estate,30235,,,,,,
CO,2014,Others,11766,,,,,,
CO,2015,Energy,31987,Direct tax,126964,Total Returns filed,218902,Total Dollar Amount,8636234.48
CO,2015,Financials,39486,Indirect tax,91938,Filed by WK Product,74427,Dollar Amount by product ,1440252.24
CO,2015,Health Care,35481,,,,,,
CO,2015,Industrials,10124,,,,,,
CO,2015,Information Technology,33620,,,,,,
CO,2015,Real Estate,34931,,,,,,
CO,2015,Others,33273,,,,,,
CO,2016,Energy,10686,Direct tax,59784,Total Returns filed,135872,Total Dollar Amount,8636234.48
CO,2016,Financials,7100,Indirect tax,76088,Filed by WK Product,62502,Dollar Amount by product ,1440252.24
CO,2016,Health Care,49229,,,,,,
CO,2016,Industrials,31674,,,,,,
CO,2016,Information Technology,13891,,,,,,
CO,2016,Real Estate,10354,,,,,,
CO,2016,Others,12938,,,,,,
CT,2010,Energy,21473,Direct tax,97644,Total Returns filed,191457,Total Dollar Amount,8636234.48
CT,2010,Financials,44867,Indirect tax,93813,Filed by WK Product,86156,Dollar Amount by product ,1440252.24
CT,2010,Health Care,45891,,,,,,
CT,2010,Industrials,22734,,,,,,
CT,2010,Information Technology,2558,,,,,,
CT,2010,Real Estate,39886,,,,,,
CT,2010,Others,14048,,,,,,
CT,2011,Energy,12054,Direct tax,82355,Total Returns filed,196081,Total Dollar Amount,8636234.48
CT,2011,Financials,19828,Indirect tax,113726,Filed by WK Product,54903,Dollar Amount by product ,1440252.24
CT,2011,Health Care,34521,,,,,,
CT,2011,Industrials,47796,,,,,,
CT,2011,Information Technology,24698,,,,,,
CT,2011,Real Estate,24982,,,,,,
CT,2011,Others,32202,,,,,,
CT,2012,Energy,29758,Direct tax,76924,Total Returns filed,137364,Total Dollar Amount,8636234.48
CT,2012,Financials,11452,Indirect tax,60440,Filed by WK Product,54946,Dollar Amount by product ,1440252.24
CT,2012,Health Care,33414,,,,,,
CT,2012,Industrials,17139,,,,,,
CT,2012,Information Technology,4792,,,,,,
CT,2012,Real Estate,2182,,,,,,
CT,2012,Others,38627,,,,,,
CT,2013,Energy,23339,Direct tax,92159,Total Returns filed,180702,Total Dollar Amount,8636234.48
CT,2013,Financials,42341,Indirect tax,88543,Filed by WK Product,57825,Dollar Amount by product ,1440252.24
CT,2013,Health Care,18407,,,,,,
CT,2013,Industrials,6303,,,,,,
CT,2013,Information Technology,27817,,,,,,
CT,2013,Real Estate,38993,,,,,,
CT,2013,Others,23502,,,,,,
CT,2014,Energy,46380,Direct tax,98744,Total Returns filed,214659,Total Dollar Amount,8636234.48
CT,2014,Financials,20842,Indirect tax,115915,Filed by WK Product,70838,Dollar Amount by product ,1440252.24
CT,2014,Health Care,25251,,,,,,
CT,2014,Industrials,48387,,,,,,
CT,2014,Information Technology,17344,,,,,,
CT,2014,Real Estate,44538,,,,,,
CT,2014,Others,11917,,,,,,
CT,2015,Energy,25117,Direct tax,113059,Total Returns filed,194928,Total Dollar Amount,8636234.48
CT,2015,Financials,2062,Indirect tax,81869,Filed by WK Product,31189,Dollar Amount by product ,1440252.24
CT,2015,Health Care,44350,,,,,,
CT,2015,Industrials,42142,,,,,,
CT,2015,Information Technology,9540,,,,,,
CT,2015,Real Estate,45000,,,,,,
CT,2015,Others,26717,,,,,,
CT,2016,Energy,41513,Direct tax,124517,Total Returns filed,230586,Total Dollar Amount,8636234.48
CT,2016,Financials,19429,Indirect tax,106069,Filed by WK Product,50729,Dollar Amount by product ,1440252.24
CT,2016,Health Care,46452,,,,,,
CT,2016,Industrials,24927,,,,,,
CT,2016,Information Technology,28209,,,,,,
CT,2016,Real Estate,39883,,,,,,
CT,2016,Others,30173,,,,,,
DE,2010,Energy,44599,Direct tax,158183,Total Returns filed,263638,Total Dollar Amount,8636234.48
DE,2010,Financials,16447,Indirect tax,105455,Filed by WK Product,60637,Dollar Amount by product ,1440252.24
DE,2010,Health Care,39535,,,,,,
DE,2010,Industrials,33126,,,,,,
DE,2010,Information Technology,47450,,,,,,
DE,2010,Real Estate,45727,,,,,,
DE,2010,Others,36754,,,,,,
DE,2011,Energy,13893,Direct tax,75533,Total Returns filed,164201,Total Dollar Amount,8636234.48
DE,2011,Financials,38317,Indirect tax,88668,Filed by WK Product,42693,Dollar Amount by product ,1440252.24
DE,2011,Health Care,18819,,,,,,
DE,2011,Industrials,11918,,,,,,
DE,2011,Information Technology,31235,,,,,,
DE,2011,Real Estate,31365,,,,,,
DE,2011,Others,18654,,,,,,
DE,2012,Energy,21986,Direct tax,108835,Total Returns filed,187646,Total Dollar Amount,8636234.48
DE,2012,Financials,13207,Indirect tax,78811,Filed by WK Product,75059,Dollar Amount by product ,1440252.24
DE,2012,Health Care,35991,,,,,,
DE,2012,Industrials,34534,,,,,,
DE,2012,Information Technology,38552,,,,,,
DE,2012,Real Estate,25323,,,,,,
DE,2012,Others,18053,,,,,,
DE,2013,Energy,47876,Direct tax,62074,Total Returns filed,151399,Total Dollar Amount,8636234.48
DE,2013,Financials,11510,Indirect tax,89325,Filed by WK Product,63588,Dollar Amount by product ,1440252.24
DE,2013,Health Care,1138,,,,,,
DE,2013,Industrials,27552,,,,,,
DE,2013,Information Technology,34508,,,,,,
DE,2013,Real Estate,25383,,,,,,
DE,2013,Others,3432,,,,,,
DE,2014,Energy,7758,Direct tax,46155,Total Returns filed,109891,Total Dollar Amount,8636234.48
DE,2014,Financials,22759,Indirect tax,63736,Filed by WK Product,51649,Dollar Amount by product ,1440252.24
DE,2014,Health Care,1868,,,,,,
DE,2014,Industrials,11604,,,,,,
DE,2014,Information Technology,24439,,,,,,
DE,2014,Real Estate,4184,,,,,,
DE,2014,Others,37279,,,,,,
DE,2015,Energy,8831,Direct tax,81787,Total Returns filed,157282,Total Dollar Amount,8636234.48
DE,2015,Financials,45952,Indirect tax,75495,Filed by WK Product,69205,Dollar Amount by product ,1440252.24
DE,2015,Health Care,23494,,,,,,
DE,2015,Industrials,27070,,,,,,
DE,2015,Information Technology,1599,,,,,,
DE,2015,Real Estate,45422,,,,,,
DE,2015,Others,4914,,,,,,
DE,2016,Energy,11709,Direct tax,52261,Total Returns filed,127465,Total Dollar Amount,8636234.48
DE,2016,Financials,7852,Indirect tax,75204,Filed by WK Product,35691,Dollar Amount by product ,1440252.24
DE,2016,Health Care,17695,,,,,,
DE,2016,Industrials,43504,,,,,,
DE,2016,Information Technology,24828,,,,,,
DE,2016,Real Estate,14338,,,,,,
DE,2016,Others,7539,,,,,,
FL,2010,Energy,16685,Direct tax,72082,Total Returns filed,150169,Total Dollar Amount,8636234.48
FL,2010,Financials,8240,Indirect tax,78087,Filed by WK Product,28533,Dollar Amount by product ,1440252.24
FL,2010,Health Care,31708,,,,,,
FL,2010,Industrials,28992,,,,,,
FL,2010,Information Technology,35236,,,,,,
FL,2010,Real Estate,16514,,,,,,
FL,2010,Others,12794,,,,,,
FL,2011,Energy,18358,Direct tax,95560,Total Returns filed,203319,Total Dollar Amount,8636234.48
FL,2011,Financials,47429,Indirect tax,107759,Filed by WK Product,48797,Dollar Amount by product ,1440252.24
FL,2011,Health Care,13347,,,,,,
FL,2011,Industrials,30600,,,,,,
FL,2011,Information Technology,27574,,,,,,
FL,2011,Real Estate,39962,,,,,,
FL,2011,Others,26049,,,,,,
FL,2012,Energy,44501,Direct tax,107301,Total Returns filed,178834,Total Dollar Amount,8636234.48
FL,2012,Financials,10553,Indirect tax,71533,Filed by WK Product,67957,Dollar Amount by product ,1440252.24
FL,2012,Health Care,35685,,,,,,
FL,2012,Industrials,10270,,,,,,
FL,2012,Information Technology,36845,,,,,,
FL,2012,Real Estate,9422,,,,,,
FL,2012,Others,31558,,,,,,
FL,2013,Energy,15127,Direct tax,87844,Total Returns filed,168929,Total Dollar Amount,8636234.48
FL,2013,Financials,22272,Indirect tax,81085,Filed by WK Product,76019,Dollar Amount by product ,1440252.24
FL,2013,Health Care,40678,,,,,,
FL,2013,Industrials,43158,,,,,,
FL,2013,Information Technology,38483,,,,,,
FL,2013,Real Estate,3913,,,,,,
FL,2013,Others,5298,,,,,,
FL,2014,Energy,38505,Direct tax,108440,Total Returns filed,197162,Total Dollar Amount,8636234.48
FL,2014,Financials,25622,Indirect tax,88722,Filed by WK Product,35490,Dollar Amount by product ,1440252.24
FL,2014,Health Care,22891,,,,,,
FL,2014,Industrials,24772,,,,,,
FL,2014,Information Technology,12489,,,,,,
FL,2014,Real Estate,25485,,,,,,
FL,2014,Others,47398,,,,,,
FL,2015,Energy,25139,Direct tax,90679,Total Returns filed,181358,Total Dollar Amount,8636234.48
FL,2015,Financials,13628,Indirect tax,90679,Filed by WK Product,27204,Dollar Amount by product ,1440252.24
FL,2015,Health Care,42071,,,,,,
FL,2015,Industrials,12555,,,,,,
FL,2015,Information Technology,16242,,,,,,
FL,2015,Real Estate,42121,,,,,,
FL,2015,Others,29602,,,,,,
FL,2016,Energy,9304,Direct tax,112479,Total Returns filed,216305,Total Dollar Amount,8636234.48
FL,2016,Financials,24394,Indirect tax,103826,Filed by WK Product,51914,Dollar Amount by product ,1440252.24
FL,2016,Health Care,45227,,,,,,
FL,2016,Industrials,45774,,,,,,
FL,2016,Information Technology,40241,,,,,,
FL,2016,Real Estate,48439,,,,,,
FL,2016,Others,2926,,,,,,
GA,2010,Energy,2931,Direct tax,45801,Total Returns filed,84815,Total Dollar Amount,8636234.48
GA,2010,Financials,10016,Indirect tax,39014,Filed by WK Product,25445,Dollar Amount by product ,1440252.24
GA,2010,Health Care,7312,,,,,,
GA,2010,Industrials,4605,,,,,,
GA,2010,Information Technology,13297,,,,,,
GA,2010,Real Estate,30314,,,,,,
GA,2010,Others,16340,,,,,,
GA,2011,Energy,48754,Direct tax,82795,Total Returns filed,147848,Total Dollar Amount,8636234.48
GA,2011,Financials,6439,Indirect tax,65053,Filed by WK Product,34006,Dollar Amount by product ,1440252.24
GA,2011,Health Care,9713,,,,,,
GA,2011,Industrials,3045,,,,,,
GA,2011,Information Technology,7179,,,,,,
GA,2011,Real Estate,28744,,,,,,
GA,2011,Others,43974,,,,,,
GA,2012,Energy,43908,Direct tax,90579,Total Returns filed,226447,Total Dollar Amount,8636234.48
GA,2012,Financials,38585,Indirect tax,135868,Filed by WK Product,86050,Dollar Amount by product ,1440252.24
GA,2012,Health Care,42072,,,,,,
GA,2012,Industrials,8956,,,,,,
GA,2012,Information Technology,24312,,,,,,
GA,2012,Real Estate,27699,,,,,,
GA,2012,Others,40915,,,,,,
GA,2013,Energy,21939,Direct tax,83024,Total Returns filed,159660,Total Dollar Amount,8636234.48
GA,2013,Financials,17123,Indirect tax,76636,Filed by WK Product,75041,Dollar Amount by product ,1440252.24
GA,2013,Health Care,31583,,,,,,
GA,2013,Industrials,2259,,,,,,
GA,2013,Information Technology,19546,,,,,,
GA,2013,Real Estate,39605,,,,,,
GA,2013,Others,27605,,,,,,
GA,2014,Energy,45818,Direct tax,108864,Total Returns filed,184514,Total Dollar Amount,8636234.48
GA,2014,Financials,25109,Indirect tax,75650,Filed by WK Product,46129,Dollar Amount by product ,1440252.24
GA,2014,Health Care,38338,,,,,,
GA,2014,Industrials,15384,,,,,,
GA,2014,Information Technology,6337,,,,,,
GA,2014,Real Estate,27239,,,,,,
GA,2014,Others,26289,,,,,,
GA,2015,Energy,48483,Direct tax,127617,Total Returns filed,245417,Total Dollar Amount,8636234.48
GA,2015,Financials,28706,Indirect tax,117800,Filed by WK Product,112892,Dollar Amount by product ,1440252.24
GA,2015,Health Care,49871,,,,,,
GA,2015,Industrials,42692,,,,,,
GA,2015,Information Technology,43645,,,,,,
