,region,value1,value
139,5055,2186,43
140,5057,3946,1
141,5059,19525,60
142,5061,9619,0
143,5063,517,44
144,5065,16864,48
145,5067,15532,12
146,5069,9278,51
147,5071,1368,14
148,5073,4884,15
149,5075,12187,35
150,5077,3742,8
151,5079,17573,32
152,5081,13852,13
153,5083,12462,33
154,5085,253,8
155,5087,15749,58
156,5089,14523,49
157,5091,3899,4
158,5093,55,17
159,5095,10215,31
160,5097,11200,18
161,5099,10451,24
162,5101,5690,32
163,5103,15952,42
164,5105,1659,14
165,5107,18138,46
166,5109,11598,28
167,5111,7341,32
168,5113,6063,58
169,5115,17752,50
170,5117,16634,7
171,5119,2282,7
172,5121,11640,60
173,5123,9143,12
174,5125,17237,57
175,5127,2599,27
176,5129,19914,16
177,5131,5164,4
178,5133,6313,45
179,5135,7278,5
180,5137,13809,37
181,5139,5398,32
182,5141,5303,63
183,5143,10828,22
184,5145,755,12
185,5147,5404,10
186,5149,10937,37
187,6001,4225,55
188,6003,16498,8
189,6005,550,23
190,6007,11300,63
191,6009,14730,27
192,6011,18278,54
193,6013,12974,45
194,6015,17072,18
195,6017,10349,33
196,6019,4571,62
197,6021,10251,32
198,6023,6043,15
199,6025,6391,7
200,6027,6906,36
201,6029,1408,1
202,6031,16651,34
203,6033,14736,36
204,6035,6269,47
205,6037,12782,29
206,6039,19601,36
207,6041,16063,58
208,6043,16385,25
209,6045,13502,41
210,6047,19511,0
211,6049,8888,1
212,6051,18999,7
213,6053,15246,12
214,6055,4174,41
215,6057,3192,1
216,6059,850,45
217,6061,3948,3
218,6063,12860,26
219,6065,1603,28
220,6067,15169,2
221,6069,18438,50
222,6071,358,19
223,6073,19778,41
224,6075,13306,53
225,6077,6814,22
226,6079,4085,56
227,6081,4046,37
228,6083,18465,18
229,6085,4601,22
230,6087,735,32
231,6089,12599,32
232,6091,4057,61
233,6093,12881,16
234,6095,10811,60
235,6097,19925,50
236,6099,11464,55
237,6101,12979,61
238,6103,10922,18
239,6105,10615,14
240,6107,1821,27
241,6109,4241,10
242,6111,14957,19
243,6113,715,35
244,6115,8855,36
245,8001,779,31
246,8003,6249,49
247,8005,6405,42
248,8007,19802,17
249,8009,8276,38
250,8011,9787,15
251,8013,10083,17
252,8014,6016,33
253,8015,7939,35
254,8017,17944,63
255,8019,11174,29
256,8021,11408,31
257,8023,17506,37
258,8025,15481,29
259,8027,14480,18
260,8029,15688,10
261,8031,17097,21
262,8033,15253,57
263,8035,14014,37
264,8037,8416,16
265,8039,19313,36
266,8041,11278,26
267,8043,7524,58
268,8045,15436,1
269,8047,11307,56
270,8049,172,33
271,8051,11334,20
272,8053,11483,30
273,8055,10461,41
274,8057,8241,60
275,8059,2503,18
276,8061,4744,61
277,8063,5622,23
278,8065,1503,25
279,8067,2856,42
280,8069,17226,29
281,8071,5030,9
282,8073,2446,16
283,8075,11000,58
284,8077,14718,6
285,8079,15650,2
286,8081,8705,56
287,8083,4636,46
288,8085,7812,10
289,8087,12618,3
290,8089,12060,9
291,8091,1434,36
292,8093,18687,56
293,8095,18027,14
294,8097,10674,33
295,8099,13504,49
296,8101,4723,35
297,8103,4711,16
298,8105,10767,21
299,8107,11527,30
300,8109,188,3
301,8111,18605,42
302,8113,11669,21
303,8115,7495,35
304,8117,18809,19
305,8119,9157,43
306,8121,15927,57
307,8123,15971,13
308,8125,7006,0
309,9001,18760,62
310,9003,2469,46
311,9005,3047,2
312,9007,6319,2
313,9009,6688,55
314,9011,8683,2
315,9013,8594,22
316,9015,5422,2
317,10001,15923,54
318,10003,14603,23
319,10005,3359,13
320,11001,6703,56
321,12001,8112,43
322,12003,1703,53
323,12005,10753,21
324,12007,17317,54
325,12009,4209,39
326,12011,10872,8
327,12013,2190,54
328,12015,19143,28
329,12017,15680,14
330,12019,15660,24
331,12021,15302,43
332,12023,3093,51
333,12027,10555,58
334,12029,16327,62
335,12031,1010,6
336,12033,1122,5
337,12035,6628,25
338,12037,2441,10
339,12039,17511,50
340,12041,15811,4
341,12043,14724,26
342,12045,2630,5
343,12047,9143,26
344,12049,18684,13
345,12051,11500,1
346,12053,17239,35
347,12055,120,46
348,12057,16716,38
349,12059,10905,27
350,12061,17270,30
351,12063,9293,51
352,12065,6164,62
353,12067,2828,61
354,12069,13337,36
355,12071,18338,42
356,12073,8539,60
357,12075,15673,38
358,12077,14605,21
359,12079,4291,10
360,12081,716,29
361,12083,15990,54
362,12085,10088,29
363,12086,5480,0
364,12087,7238,39
365,12089,19013,53
366,12091,3664,32
367,12093,16014,63
368,12095,10499,3
369,12097,14772,50
370,12099,7803,30
371,12101,11197,47
372,12103,736,23
373,12105,9829,2
374,12107,2536,42
375,12109,15690,39
376,12111,1909,47
377,12113,13529,41
378,12115,15239,16
379,12117,14194,31
380,12119,14813,12
381,12121,673,51
382,12123,2236,2
383,12125,9045,37
384,12127,13975,57
385,12129,5914,44
386,12131,4343,27
387,12133,5839,37
388,13001,2969,0
389,13003,1363,53
390,13005,8032,4
391,13007,2393,20
392,13009,18180,20
393,13011,273,60
394,13013,10601,37
395,13015,13856,46
396,13017,19655,13
397,13019,19962,44
398,13021,7803,55
399,13023,6028,30
400,13025,14458,23
401,13027,7421,44
402,13029,3481,0
403,13031,1661,10
404,13033,10781,52
405,13035,5868,46
406,13037,5124,52
407,13039,9483,35
408,13043,19184,43
409,13045,18979,1
410,13047,18435,40
411,13049,17415,39
412,13051,13059,24
413,13053,7217,56
414,13055,3514,24
415,13057,11482,50
416,13059,9419,36
417,13061,3409,53
418,13063,17201,60
419,13065,12454,9
420,13067,15876,11
421,13069,19767,0
422,13071,2685,53
423,13073,180,1
424,13075,3344,24
425,13077,19089,12
426,13079,9866,30
427,13081,11229,37
428,13083,9734,17
429,13085,8848,3
430,13087,1065,14
431,13089,5804,27
432,13091,8315,8
433,13093,9020,22
434,13095,8836,32
435,13097,17856,47
436,13099,10057,29
437,13101,12685,19
438,13103,2074,52
439,13105,12603,9
440,13107,2667,54
441,13109,17809,46
442,13111,19757,24
443,13113,14565,51
444,13115,9486,11
445,13117,4594,30
446,13119,6262,43
447,13121,19951,10
448,13123,3762,15
449,13125,15934,18
450,13127,13093,45
451,13129,13499,45
452,13131,2565,28
453,13133,10598,60
454,13135,19106,50
455,13137,218,45
456,13139,15475,47
457,13141,13476,61
458,13143,8789,63
459,13145,1495,21
460,13147,3654,43
461,13149,9288,50
462,13151,2212,39
463,13153,18745,5
464,13155,6779,26
465,13157,2562,24
466,13159,124,13
467,13161,1494,22
468,13163,16378,26
469,13165,5120,38
470,13167,5357,40
471,13169,2077,41
472,13171,757,3
473,13173,830,54
474,13175,13041,21
475,13177,19077,49
476,13179,8201,55
477,13181,2054,51
478,13183,7778,13
479,13185,5978,11
480,13187,9375,47
481,13189,1353,21
482,13191,8689,34
483,13193,619,13
484,13195,17015,27
485,13197,1276,40
486,13199,1624,61
487,13201,824,13
488,13205,7068,26
489,13207,9056,12
490,13209,16663,9
491,13211,17194,10
492,13213,14564,18
493,13215,10800,27
494,13217,1485,61
495,13219,19190,16
496,13221,3306,32
497,13223,2470,51
498,13225,15375,21
499,13227,8597,18
500,13229,9262,13
501,13231,17562,63
502,13233,1978,1
503,13235,4819,15
504,13237,85,35
505,13239,18500,30
506,13241,811,27
507,13243,5003,37
508,13245,2564,54
509,13247,2993,16
510,13249,16031,28
511,13251,12985,4
512,13253,16294,53
513,13255,18504,51
514,13257,9726,20
515,13259,5483,36
516,13261,13278,27
517,13263,14034,20
518,13265,7384,5
519,13267,8211,26
520,13269,2598,63
521,13271,15812,13
522,13273,17536,23
523,13275,16187,16
524,13277,19702,61
525,13279,3731,23
526,13281,5485,30
527,13283,15268,21
528,13285,19919,22
529,13287,10205,9
530,13289,7311,40
531,13291,15948,24
532,13293,3709,28
533,13295,15676,37
534,13297,8552,40
535,13299,1154,29
536,13301,12583,29
537,13303,15950,55
538,13305,18563,37
539,13307,16335,1
540,13309,19522,56
541,13311,14297,54
542,13313,10239,35
543,13315,4529,3
544,13317,8847,1
545,13319,15598,8
546,13321,6436,30
547,15001,10015,29
548,15003,18823,54
549,15005,4014,30
550,15007,14258,15
551,15009,6850,43
552,16001,8085,39
553,16003,6783,61
554,16005,215,2
555,16007,18212,5
556,16009,19504,63
557,16011,6953,13
558,16013,6159,8
559,16015,15083,60
560,16017,10107,20
561,16019,14043,44
562,16021,12344,49
563,16023,16528,22
564,16025,17404,60
565,16027,3565,13
566,16029,15262,39
567,16031,2551,29
568,16033,12341,20
569,16035,4632,49
570,16037,5778,54
571,16039,18770,15
572,16041,3912,50
573,16043,8717,26
574,16045,13142,10
575,16047,9793,7
576,16049,1352,42
577,16051,3289,58
578,16053,261,42
579,16055,19279,30
580,16057,14415,42
581,16059,2802,36
582,16061,1906,10
583,16063,10224,52
584,16065,7349,54
585,16067,8090,50
586,16069,18956,52
587,16071,12386,57
588,16073,14784,52
589,16075,1569,12
590,16077,12460,48
591,16079,7291,2
592,16081,15438,34
593,16083,3491,40
594,16085,18137,2
595,16087,9851,28
596,17001,14135,12
597,17003,19812,55
598,17005,8902,32
599,17007,10043,55
600,17009,9614,30
601,17011,5021,43
602,17013,18001,22
603,17015,13629,12
604,17017,1251,1
605,17019,38,36
606,17021,18837,45
607,17023,14135,26
608,17025,1796,44
609,17027,12187,42
610,17029,7961,52
611,17031,8068,43
612,17033,18178,0
613,17035,19984,29
614,17037,6714,40
615,17039,19221,55
616,17041,13458,63
617,17043,2630,55
618,17045,9326,31
619,17047,14330,14
620,17049,4896,7
621,17051,9797,6
622,17053,12286,62
623,17055,13446,8
624,17057,970,46
625,17059,2521,45
626,17061,7839,13
627,17063,14798,18
628,17065,18986,37
629,17067,3722,37
630,17069,5548,12
631,17071,17879,33
632,17073,1975,26
633,17075,1219,7
634,17077,6217,1
635,17079,5199,23
636,17081,2916,16
637,17083,7637,61
638,17085,14348,55
639,17087,15071,61
640,17089,1650,35
641,17091,8432,22
642,17093,6359,23
643,17095,1116,16
644,17097,9748,27
645,17099,6419,29
646,17101,2517,14
647,17103,12420,2
648,17105,3869,38
649,17107,3249,43
650,17109,1315,41
651,17111,15647,21
652,17113,9743,13
653,17115,3098,59
654,17117,5602,41
655,17119,15404,37
656,17121,3412,35
657,17123,3924,48
658,17125,8494,11
659,17127,4478,40
660,17129,11733,51
661,17131,14247,1
662,17133,3950,39
663,17135,19824,20
664,17137,5040,0
665,17139,6324,11
666,17141,1631,27
667,17143,13746,20
668,17145,14050,5
669,17147,12943,27
670,17149,13921,22
671,17151,7494,7
672,17153,18092,56
673,17155,15804,53
674,17157,17560,6
675,17159,18200,51
676,17161,307,37
677,17163,19809,52
678,17165,15450,49
679,17167,5855,40
680,17169,19385,40
681,17171,4491,26
682,17173,14552,8
683,17175,11864,33
684,17177,12391,41
685,17179,7784,2
686,17181,6318,16
687,17183,12679,22
688,17185,17262,38
689,17187,17761,29
690,17189,17811,35
691,17191,16122,13
692,17193,15447,44
693,17195,3950,8
694,17197,6383,16
695,17199,6640,30
696,17201,18524,39
697,17203,11565,31
698,18001,14218,61
699,18003,17966,18
700,18005,16401,5
701,18007,553,21
702,18009,16695,18
703,18011,7228,49
704,18013,2875,45
705,18015,16495,22
706,18017,2777,23
707,18019,16366,1
708,18021,14697,55
709,18023,16984,11
710,18025,15000,25
711,18027,3697,25
712,18029,1737,31
713,18031,9594,17
714,18033,8480,5
715,18035,16845,0
716,18037,7160,59
717,18039,17931,4
718,18041,6240,22
719,18043,14086,58
720,18045,9674,14
721,18047,18790,34
722,18049,6138,38
723,18051,17966,58
724,18053,3369,45
725,18055,5313,21
726,18057,3443,11
727,18059,4176,33
728,18061,9744,25
729,18063,17949,47
730,18065,12496,35
731,18067,19215,63
732,18069,6595,50
733,18071,12577,55
734,18073,11709,44
735,18075,5903,13
736,18077,2949,15
737,18079,17917,6
738,18081,16071,1
739,18083,1210,27
740,18085,12435,27
741,18087,1501,22
742,18089,6745,33
743,18091,14082,56
744,18093,12618,34
745,18095,9041,55
746,18097,13845,51
747,18099,10296,36
748,18101,1227,13
749,18103,6512,57
750,18105,1849,0
751,18107,9304,39
752,18109,16688,53
753,18111,11808,51
754,18113,3621,9
755,18115,3193,21
756,18117,10014,44
757,18119,11587,32
758,18121,830,33
759,18123,4899,7
760,18125,2819,53
761,18127,4700,33
762,18129,6671,47
763,18131,18844,51
764,18133,18806,22
765,18135,12162,28
766,18137,10034,6
767,18139,17307,17
768,18141,11948,41
769,18143,1980,59
770,18145,2909,18
771,18147,9006,4
772,18149,17387,48
773,18151,5055,56
774,18153,80,62
775,18155,1768,23
776,18157,17819,46
777,18159,7658,30
778,18161,10081,1
779,18163,3396,53
780,18165,6631,47
781,18167,11185,13
782,18169,11737,16
783,18171,14835,34
784,18173,13992,52
785,18175,14413,10
786,18177,13987,38
787,18179,13462,39
788,18181,7943,13
789,18183,591,33
790,19001,2338,49
791,19003,1687,32
792,19005,5292,22
793,19007,16401,3
794,19009,1036,31
795,19011,7319,61
796,19013,12853,26
797,19015,13825,54
798,19017,1630,47
799,19019,19102,63
800,19021,19682,1
801,19023,1480,38
802,19025,17846,52
803,19027,4810,43
804,19029,17801,19
805,19031,10341,55
806,19033,4553,58
807,19035,2161,44
808,19037,8582,29
809,19039,8649,24
810,19041,2138,53
811,19043,7029,46
812,19045,14998,46
813,19047,13491,34
814,19049,3523,9
815,19051,13411,55
816,19053,15287,17
817,19055,2615,22
818,19057,1215,51
819,19059,17151,47
820,19061,3979,32
821,19063,7853,55
822,19065,12073,23
823,19067,4807,48
824,19069,5994,21
825,19071,4062,35
826,19073,15913,50
827,19075,3972,7
828,19077,9763,43
829,19079,15805,14
830,19081,18227,34
831,19083,17146,56
832,19085,10362,38
833,19087,8076,0
834,19089,7311,61
835,19091,7455,23
836,19093,183,15
837,19095,3861,38
838,19097,1012,32
839,19099,12543,6
840,19101,19947,34
841,19103,16432,10
842,19105,6345,20
843,19107,4555,29
844,19109,4546,25
845,19111,4397,51
846,19113,5834,19
847,19115,13580,34
848,19117,16907,32
849,19119,2934,62
850,19121,10321,9
851,19123,424,38
852,19125,2529,39
853,19127,17526,0
854,19129,16562,15
855,19131,5880,43
856,19133,9666,43
857,19135,10170,49
858,19137,9927,8
859,19139,2765,63
860,19141,7451,48
861,19143,10206,44
862,19145,2326,45
863,19147,5031,53
864,19149,18842,37
865,19151,17922,2
866,19153,7649,11
867,19155,9203,54
868,19157,8222,8
869,19159,17638,41
870,19161,9233,48
871,19163,14673,54
872,19165,19494,53
873,19167,9853,60
874,19169,4593,24
875,19171,9123,35
876,19173,9842,18
877,19175,2353,3
878,19177,13999,35
879,19179,9586,1
880,19181,3120,0
881,19183,17673,37
882,19185,11386,58
883,19187,1985,29
884,19189,17312,13
885,19191,16529,5
886,19193,18213,47
887,19195,887,6
888,19197,17048,46
889,20001,3498,23
890,20003,7980,52
891,20005,2277,42
892,20007,16434,40
893,20009,12675,29
894,20011,265,47
895,20013,18372,23
896,20015,10358,11
897,20017,11334,49
898,20019,9084,52
899,20021,4989,54
900,20023,9968,3
901,20025,5893,43
902,20027,3918,57
903,20029,1144,25
904,20031,15744,42
905,20033,14306,1
906,20035,8555,58
907,20037,2229,8
908,20039,6388,40
909,20041,14617,15
910,20043,17422,32
911,20045,14342,63
912,20047,4749,56
913,20049,19251,31
914,20051,1537,4
915,20053,4645,28
916,20055,13437,47
917,20057,2105,51
918,20059,14977,59
919,20061,16945,50
920,20063,3600,28
921,20065,1378,37
922,20067,7462,31
923,20069,12195,39
924,20071,17946,49
925,20073,5394,63
926,20075,4069,30
927,20077,5136,18
928,20079,9651,43
929,20081,11768,50
930,20083,1143,10
931,20085,8415,63
932,20087,9961,10
933,20089,6189,49
934,20091,2206,13
935,20093,16247,21
936,20095,2692,32
937,20097,18934,53
938,20099,16748,21
939,20101,17164,33
940,20103,1392,43
941,20105,4300,5
942,20107,6205,3
943,20109,9813,12
944,20111,2350,26
945,20113,2964,30
946,20115,8669,16
947,20117,2674,51
948,20119,9444,23
949,20121,18133,31
950,20123,18955,17
951,20125,8583,5
952,20127,17672,24
953,20129,16259,63
954,20131,7889,8
955,20133,9213,0
956,20135,5746,39
957,20137,6240,56
958,20139,8193,39
959,20141,9391,40
960,20143,18485,15
961,20145,4593,60
962,20147,10935,34
963,20149,508,63
964,20151,14987,24
965,20153,13895,21
966,20155,1058,11
967,20157,19029,39
968,20159,9586,34
969,20161,13414,34
970,20163,17576,40
971,20165,7868,9
972,20167,16260,57
973,20169,2841,16
974,20171,2301,25
975,20173,5998,8
976,20175,3225,6
977,20177,6140,34
978,20179,19829,22
979,20181,19235,25
980,20183,15501,44
981,20185,4555,47
982,20187,12887,43
983,20189,19836,37
984,20191,4395,39
985,20193,11674,62
986,20195,7996,60
987,20197,1766,40
988,20199,9761,57
989,20201,17731,55
990,20203,9693,8
991,20205,16091,63
992,20207,4245,23
993,20209,9065,35
994,21001,8235,26
995,21003,8405,53
996,21005,15984,18
997,21007,11988,33
998,21009,4410,45
999,21011,15076,12
1000,21013,8108,22
1001,21015,1958,28
1002,21017,5161,25
1003,21019,8258,38
1004,21021,11228,20
1005,21023,5352,3
1006,21025,3876,8
1007,21027,10501,39
1008,21029,651,17
1009,21031,641,36
1010,21033,14371,53
1011,21035,15005,21
1012,21037,8461,47
1013,21039,9907,5
1014,21041,13016,34
1015,21043,15999,11
1016,21045,13150,49
1017,21047,3517,41
1018,21049,6690,52
1019,21051,17831,13
1020,21053,17008,14
1021,21055,19009,10
1022,21057,13780,21
1023,21059,10253,63
1024,21061,10800,21
1025,21063,5318,25
1026,21065,1256,32
1027,21067,12100,20
1028,21069,15976,46
1029,21071,2059,36
1030,21073,1074,54
1031,21075,10811,18
1032,21077,12251,49
1033,21079,5222,34
1034,21081,9906,38
1035,21083,3628,17
1036,21085,6581,26
1037,21087,12423,36
1038,21089,12967,34
1039,21091,11581,56
1040,21093,2110,37
1041,21095,8884,47
1042,21097,8420,43
1043,21099,5739,32
1044,21101,4856,31
1045,21103,17716,24
1046,21105,92,28
1047,21107,16403,26
1048,21109,19119,3
1049,21111,10762,52
1050,21113,13496,13
1051,21115,10468,37
1052,21117,13602,53
1053,21119,8693,62
1054,21121,13951,61
1055,21123,9066,14
1056,21125,18358,61
1057,21127,92,47
1058,21129,12104,14
1059,21131,14847,55
1060,21133,11059,49
1061,21135,13852,19
1062,21137,11959,8
1063,21139,307,58
1064,21141,13465,48
1065,21143,1062,31
1066,21145,16482,27
1067,21147,8970,40
1068,21149,17858,41
1069,21151,18888,61
1070,21153,19357,19
1071,21155,4136,33
1072,21157,8893,34
1073,21159,1579,5
1074,21161,14185,4
1075,21163,17136,27
1076,21165,18934,43
1077,21167,7959,25
1078,21169,15464,10
1079,21171,9766,51
1080,21173,11375,33
1081,21175,5409,34
1082,21177,5149,53
1083,21179,5224,0
1084,21181,12641,43
1085,21183,14905,20
1086,21185,758,59
1087,21187,13660,52
1088,21189,16761,0
1089,21191,610,34
1090,21193,8431,52
1091,21195,15111,57
1092,21197,11796,48
1093,21199,18980,4
1094,21201,16638,1
1095,21203,2123,24
1096,21205,13457,3
1097,21207,292,38
1098,21209,19091,35
1099,21211,979,41
1100,21213,13270,61
1101,21215,8468,32
1102,21217,3782,16
1103,21219,16283,9
1104,21221,4951,10
1105,21223,2137,60
1106,21225,4403,18
1107,21227,6536,42
1108,21229,5983,36
1109,21231,11206,8
1110,21233,4860,6
1111,21235,10870,43
1112,21237,6125,9
1113,21239,14309,46
1114,22001,18079,53
1115,22003,13563,61
1116,22005,18684,4
1117,22007,11813,51
1118,22009,679,10
1119,22011,3721,21
1120,22013,13733,45
1121,22015,2225,28
1122,22017,2740,61
1123,22019,14257,62
1124,22021,2420,18
1125,22023,17546,19
1126,22025,17706,51
1127,22027,390,58
1128,22029,17396,5
1129,22031,8706,49
1130,22033,17683,57
1131,22035,1247,6
1132,22037,2739,35
1133,22039,19964,10
1134,22041,5252,25
1135,22043,7936,9
1136,22045,12069,54
1137,22047,19184,23
1138,22049,3435,23
1139,22051,5485,43
1140,22053,18025,37
1141,22055,16916,34
1142,22057,10576,7
1143,22059,5224,51
1144,22061,6025,6
1145,22063,1517,42
1146,22065,19418,55
1147,22067,16841,26
1148,22069,7744,5
1149,22071,13827,9
1150,22073,231,31
1151,22075,7102,37
1152,22077,980,7
1153,22079,14703,27
1154,22081,2444,14
1155,22083,11185,39
1156,22085,15267,36
1157,22087,17207,22
1158,22089,2497,57
1159,22091,12174,4
1160,22093,5555,62
1161,22095,9238,28
1162,22097,8030,9
1163,22099,2862,45
1164,22101,9864,14
1165,22103,12087,14
1166,22105,12624,17
1167,22107,6127,58
1168,22109,17174,9
1169,22111,11817,37
1170,22113,8235,23
1171,22115,10451,30
1172,22117,17822,51
1173,22119,15853,4
1174,22121,5665,18
1175,22123,19633,31
1176,22125,14192,38
1177,22127,4346,40
1178,23001,4794,47
1179,23003,11612,0
1180,23005,6876,10
1181,23007,15251,43
1182,23009,12317,16
1183,23011,19965,63
1184,23013,14742,32
1185,23015,11716,2
1186,23017,8448,8
1187,23019,18119,52
1188,23021,711,42
1189,23023,19153,59
1190,23025,14493,27
1191,23027,3468,30
1192,23029,5557,15
1193,23031,19905,55
1194,24001,3266,59
1195,24003,13094,12
1196,24005,9530,32
1197,24009,6786,45
1198,24011,3987,44
1199,24013,11272,23
1200,24015,7498,1
1201,24017,14677,55
1202,24019,18710,49
1203,24021,3691,8
1204,24023,14373,22
1205,24025,12026,33
1206,24027,539,59
1207,24029,10669,56
1208,24031,1763,49
1209,24033,1115,12
1210,24035,9843,6
1211,24037,19380,21
1212,24039,9051,25
1213,24041,9091,50
1214,24043,18047,46
1215,24045,6772,9
1216,24047,19006,19
1217,24510,6134,2
1218,25001,15730,5
1219,25003,1120,44
1220,25005,19245,9
1221,25007,15833,26
1222,25009,508,49
1223,25011,9800,20
1224,25013,9184,61
1225,25015,19875,61
1226,25017,14676,35
1227,25019,10249,47
1228,25021,3404,21
1229,25023,879,17
1230,25025,18552,4
1231,25027,9523,23
1232,26001,17151,3
1233,26003,1664,17
1234,26005,5895,58
1235,26007,10309,58
1236,26009,16349,18
1237,26011,11920,3
1238,26013,17008,22
1239,26015,11139,19
1240,26017,15295,45
1241,26019,857,52
1242,26021,7190,6
1243,26023,4450,31
1244,26025,1998,33
1245,26027,14484,43
1246,26029,18810,19
1247,26031,12823,58
1248,26033,3486,39
1249,26035,10047,11
1250,26037,12521,32
1251,26039,15064,31
1252,26041,6995,0
1253,26043,19052,29
1254,26045,634,38
1255,26047,2813,52
1256,26049,16431,48
1257,26051,14950,28
1258,26053,12001,63
1259,26055,1601,50
1260,26057,19484,2
1261,26059,4888,45
1262,26061,12104,27
1263,26063,4837,51
1264,26065,5108,51
1265,26067,1512,22
1266,26069,2193,21
1267,26071,18632,27
1268,26073,18666,17
1269,26075,12865,20
1270,26077,16821,20
1271,26079,15163,54
1272,26081,13135,33
1273,26083,18485,51
1274,26085,16329,42
1275,26087,6017,22
1276,26089,8336,61
1277,26091,14482,46
1278,26093,14621,38
1279,26095,5079,61
1280,26097,11662,46
1281,26099,13508,55
1282,26101,6996,50
1283,26103,853,19
1284,26105,4858,43
1285,26107,10543,19
1286,26109,3554,63
1287,26111,15217,60
1288,26113,10635,24
1289,26115,4017,53
1290,26117,7495,55
1291,26119,11220,17
1292,26121,2968,2
1293,26123,8251,10
1294,26125,2596,10
1295,26127,13562,25
1296,26129,6892,3
1297,26131,4904,19
1298,26133,4278,48
1299,26135,19984,14
1300,26137,5391,58
1301,26139,12762,59
1302,26141,11959,16
1303,26143,204,22
1304,26145,17609,4
1305,26147,2382,46
1306,26149,8686,62
1307,26151,16197,49
1308,26153,19662,35
1309,26155,13980,60
1310,26157,14381,47
1311,26159,6047,8
1312,26161,10856,48
1313,26163,5055,20
1314,26165,4386,20
1315,27001,19529,21
1316,27003,7287,48
1317,27005,1313,13
1318,27007,6882,5
1319,27009,59,59
1320,27011,1928,51
1321,27013,19315,0
1322,27015,7104,6
1323,27017,2645,26
1324,27019,16261,46
1325,27021,9901,14
1326,27023,19457,22
1327,27025,1950,26
1328,27027,4322,46
1329,27029,15343,9
1330,27031,7052,61
1331,27033,18068,22
1332,27035,5504,45
1333,27037,18355,4
1334,27039,11561,4
1335,27041,589,42
1336,27043,3558,9
1337,27045,14263,3
1338,27047,19798,50
1339,27049,10812,57
1340,27051,5438,6
1341,27053,9086,61
1342,27055,10866,55
1343,27057,19571,21
1344,27059,17627,3
1345,27061,15994,23
1346,27063,16840,58
1347,27065,16500,13
1348,27067,982,17
1349,27069,8924,28
1350,27071,2361,11
1351,27073,16245,30
1352,27075,11488,54
1353,27077,1273,18
1354,27079,19403,39
1355,27081,19716,28
1356,27083,9830,56
1357,27085,7194,33
1358,27087,15325,52
1359,27089,10087,6
1360,27091,19569,56
1361,27093,19738,26
1362,27095,18578,36
1363,27097,13730,38
1364,27099,18319,60
1365,27101,5455,45
1366,27103,2311,24
1367,27105,18823,56
1368,27107,9193,55
